category	name	home	sdram	repository	branch	source_id	status	build_script	artifact	timing	hardware	comments
_Arcade	The Tower of Druaga		no	https://github.com/MiSTer-devel/Arcade-Druaga_MiSTer.git		MiSTer-devel_Arcade-Druaga_MiSTer	not-ported			not-run	not-run	
_Arcade	Exerion		no	https://github.com/MiSTer-devel/Arcade-Exerion_MiSTer.git		MiSTer-devel_Arcade-Exerion_MiSTer	not-ported			not-run	not-run	
_Arcade	Exidy2		no	https://github.com/MiSTer-devel/Arcade-Exidy2_MiSTer.git		MiSTer-devel_Arcade-Exidy2_MiSTer	not-ported			not-run	not-run	
_Arcade	Express Raider		no	https://github.com/MiSTer-devel/Arcade-ExpressRaider_MiSTer.git		MiSTer-devel_Arcade-ExpressRaider_MiSTer	not-ported			not-run	not-run	
_Arcade	Finalizer - Super Transformation		no	https://github.com/MiSTer-devel/Arcade-Finalizer_MiSTer.git		MiSTer-devel_Arcade-Finalizer_MiSTer	not-ported			not-run	not-run	
_Arcade	Food Fight		no	https://github.com/MiSTer-devel/Arcade-FoodFight_MiSTer.git		MiSTer-devel_Arcade-FoodFight_MiSTer	not-ported			not-run	not-run	
_Arcade	Freeze		no	https://github.com/MiSTer-devel/Arcade-Freeze_MiSTer.git		MiSTer-devel_Arcade-Freeze_MiSTer	not-ported			not-run	not-run	
_Arcade	Frenzy		no	https://github.com/MiSTer-devel/Arcade-Frenzy_MiSTer.git		MiSTer-devel_Arcade-Frenzy_MiSTer	not-ported			not-run	not-run	
_Arcade	Galaga		no	https://github.com/MiSTer-devel/Arcade-Galaga_MiSTer.git		MiSTer-devel_Arcade-Galaga_MiSTer	not-ported			not-run	not-run	
_Arcade	Galaxian		no	https://github.com/MiSTer-devel/Arcade-Galaxian_MiSTer.git		MiSTer-devel_Arcade-Galaxian_MiSTer	not-ported			not-run	not-run	
_Arcade	Galivan		no	https://github.com/MiSTer-devel/Arcade-Galivan_MiSTer.git		MiSTer-devel_Arcade-Galivan_MiSTer	not-ported			not-run	not-run	
_Arcade	Gaplus / Galaga 3		no	https://github.com/MiSTer-devel/Arcade-Gaplus_MiSTer.git		MiSTer-devel_Arcade-Gaplus_MiSTer	not-ported			not-run	not-run	
_Arcade	Gauntlet		yes	https://github.com/MiSTer-devel/Arcade-Gauntlet_MiSTer.git		MiSTer-devel_Arcade-Gauntlet_MiSTer	not-ported			not-run	not-run	
_Arcade	Godzilla		yes	https://github.com/MiSTer-devel/Arcade-Godzilla_MiSTer.git		MiSTer-devel_Arcade-Godzilla_MiSTer	not-ported			not-run	not-run	
_Arcade	Gulf War II		yes	https://github.com/MiSTer-devel/Arcade-GulfWarII_MiSTer.git		MiSTer-devel_Arcade-GulfWarII_MiSTer	not-ported			not-run	not-run	
_Arcade	SD Gundam Psycho Salamander no Kyoui		yes	https://github.com/MiSTer-devel/Arcade-GundamSD_MiSTer.git		MiSTer-devel_Arcade-GundamSD_MiSTer	not-ported			not-run	not-run	
_Arcade	Gyruss		no	https://github.com/MiSTer-devel/Arcade-Gyruss_MiSTer.git		MiSTer-devel_Arcade-Gyruss_MiSTer	not-ported			not-run	not-run	
_Arcade	Heated Barrel		yes	https://github.com/MiSTer-devel/Arcade-HeatedBarrel_MiSTer.git		MiSTer-devel_Arcade-HeatedBarrel_MiSTer	not-ported			not-run	not-run	
_Arcade	IGS PGM		yes	https://github.com/MiSTer-devel/Arcade-IGSPGM_MiSTer.git		MiSTer-devel_Arcade-IGSPGM_MiSTer	not-ported			not-run	not-run	
_Arcade	Ikari Warriors		yes	https://github.com/MiSTer-devel/Arcade-IkariWarriors_MiSTer.git		MiSTer-devel_Arcade-IkariWarriors_MiSTer	not-ported			not-run	not-run	
_Arcade	Inferno		no	https://github.com/MiSTer-devel/Arcade-Inferno_MiSTer.git		MiSTer-devel_Arcade-Inferno_MiSTer	not-ported			not-run	not-run	
_Arcade	Irem M107		yes	https://github.com/MiSTer-devel/Arcade-IremM107_MiSTer.git		MiSTer-devel_Arcade-IremM107_MiSTer	not-ported			not-run	not-run	
_Arcade	Irem M62		yes	https://github.com/MiSTer-devel/Arcade-IremM62_MiSTer.git		MiSTer-devel_Arcade-IremM62_MiSTer	not-ported			not-run	not-run	
